 9 , 9 , 9 , 9 , 9 , 9 , -1, 0 , -1, 1 , 1 , 1 , 1 , 1 , 1 , -1,-15, -1, 2 , 2 , 2 , 2 , 2 , 2 ,
 9 , 9 , 9 , 9 , 9 , 9 , 9 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,
 9 , 9 , 9 , 9 , 9 , 9 , 9 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,
 94, 9 , 9 , 9 , 9 , 9 , 90, 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,
 -1, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10, 1 , 1 , 1 , 1 , 1 , 0 , 0 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,
-12, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 20, 2 , 2 , 2 , 2 , 2 , 26,
 -1, 8 , 8 , 8 , 8 , 8 , 0 , 0 , 0 , 1 , 1 , 10, 10, 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -1,
 8 , 8 , 8 , 8 , 8 , 8 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,-11,
 8 , 8 , 8 , 8 , 8 , 8 , 80, 0 , 0 , -1, -1, -1, -1, -1, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -1,
 8 , 8 , 8 , 8 , 8 , 8 , 8 , 0 , 0 , -1, -1, -1, -1, -1, 0 , 0 , 3 , 30, 3 , 3 , 3 , 3 , 3 , 3 ,
 -1, 8 , 8 , 80, 8 , 8 , 0 , 0 , 0 , -1, -1, -1, -1, -1, 0 , 0 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 ,
 -1, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -1, -1, -1, -1, -1, 0 , 0 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 ,
 7 , 70, 7 , 7 , 7 , 7 , 0 , 0 , 0 , -1, -1, -1, -1, -1, 0 , 0 , 30, 3 , 3 , 3 , 3 , 3 , 3 , 3 ,
 7 , 7 , 7 , 7 , 7 , 7 , 0 , 0 , 0 , -1, -1, -1, -1, -1, 0 , 0 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 ,
 7 , 7 , 7 , 7 , 7 , 7 , 0 , 0 , 0 , -1, -1, -1, -1, -1, 0 , 0 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 ,
 7 , 7 , 7 , 7 , 7 , 70, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 3 , 3 , 3 , 3 ,
 7 , 7 , 7 , 7 , 7 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -1,
 -1, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 50, 5 , 5 , 5 , 5 , 50, 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,
-14, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 0 , 0 , 4 , 40, 4 , 4 , 4 , -1,
 -1, 62, 6 , 6 , 60, 0 , 0 , 0 , 50, 5 , 5 , 5 , 5 , 5 , 5 , 50, 0 , 0 , 4 , 4 , 4 , 4 , 4 , 4 ,
 6 , 6 , 6 , 6 , 6 , 6 , 0 , 0 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 0 , 0 , 4 , 4 , 4 , 4 , 4 , 4 ,
 6 , 6 , 6 , 6 , 6 , 6 , 0 , 0 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 0 , 0 , 4 , 4 , 4 , 4 , 4 , 4 ,
 6 , 6 , 6 , 6 , 6 , 6 , 0 , 0 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 0 , 0 , 4 , 4 , 4 , 4 , 4 , 4 ,
 6 , 6 , 6 , 6 , 6 , 6 , -1, 0 , 0 , 0 , 5 , 5 , 5 , 5 , 0 , 0 , 0 , -1, 49, 4 , 4 , 4 , 4 , 4 ,
 -1, -1, -1, -1, -1, -1, -1, -1, -1,-13, -1, -1, -1, -1,-16, -1, -1, -1, -1, -1, -1, -1, -1, -1
